device_id,gender_id,app_name,minutes,Publisher
B-52-4313,2.0,Amazon Mobile (Mobile App),119.7504,Amazon Sites
B-52-11020,2.0,Amazon Mobile (Mobile App),119.9016,Amazon Sites
B-52-48982,2.0,Amazon Mobile (Mobile App),12.095999999999998,Amazon Sites
B-52-15181,1.0,Amazon Mobile (Mobile App),12.1338,Amazon Sites
B-52-15276,2.0,Amazon Mobile (Mobile App),12.1716,Amazon Sites
B-52-24396,2.0,Amazon Mobile (Mobile App),12.2472,Amazon Sites
B-52-15086,1.0,Amazon Mobile (Mobile App),12.285,Amazon Sites
B-52-41078,1.0,Amazon Mobile (Mobile App),12.3606,Amazon Sites
B-52-23598,1.0,Amazon Mobile (Mobile App),12.3984,Amazon Sites
B-52-1178,2.0,Amazon Mobile (Mobile App),12.3984,Amazon Sites
B-52-39786,2.0,Amazon Mobile (Mobile App),12.4362,Amazon Sites
B-52-49419,1.0,Amazon Mobile (Mobile App),12.5118,Amazon Sites
B-52-28177,2.0,Amazon Mobile (Mobile App),12.5118,Amazon Sites
B-52-33174,2.0,Amazon Mobile (Mobile App),12.5118,Amazon Sites
B-52-36119,2.0,Amazon Mobile (Mobile App),12.663,Amazon Sites
B-52-969,2.0,Amazon Mobile (Mobile App),12.8898,Amazon Sites
B-52-7809,2.0,Amazon Mobile (Mobile App),12.8898,Amazon Sites
B-52-44916,2.0,Amazon Mobile (Mobile App),120.3174,Amazon Sites
B-52-14877,2.0,Amazon Mobile (Mobile App),120.4308,Amazon Sites
B-52-45106,2.0,Amazon Mobile (Mobile App),120.8088,Amazon Sites
B-52-36176,1.0,Amazon Mobile (Mobile App),120.8844,Amazon Sites
B-52-9671,1.0,Amazon Mobile (Mobile App),120.9222,Amazon Sites
B-52-45125,,Amazon Mobile (Mobile App),1203.3252,Amazon Sites
B-52-37886,2.0,Amazon Mobile (Mobile App),121.0734,Amazon Sites
B-52-49647,2.0,Amazon Mobile (Mobile App),121.7538,Amazon Sites
B-52-31654,2.0,Amazon Mobile (Mobile App),121.8294,Amazon Sites
B-52-52516,1.0,Amazon Mobile (Mobile App),122.0562,Amazon Sites
B-52-45049,1.0,Amazon Mobile (Mobile App),122.6988,Amazon Sites
B-52-17062,2.0,Amazon Mobile (Mobile App),122.85,Amazon Sites
B-52-1235,1.0,Amazon Mobile (Mobile App),123.1524,Amazon Sites
B-52-19551,1.0,Amazon Mobile (Mobile App),123.6438,Amazon Sites
B-52-50350,2.0,Amazon Mobile (Mobile App),124.2108,Amazon Sites
B-52-19912,2.0,Amazon Mobile (Mobile App),124.8156,Amazon Sites
B-52-37069,2.0,Amazon Mobile (Mobile App),124.8534,Amazon Sites
B-52-34314,1.0,Amazon Mobile (Mobile App),124.8534,Amazon Sites
B-52-16511,2.0,Amazon Mobile (Mobile App),1246.5684,Amazon Sites
B-52-41857,2.0,Amazon Mobile (Mobile App),125.7228,Amazon Sites
B-52-52345,2.0,Amazon Mobile (Mobile App),126.2142,Amazon Sites
B-52-3344,1.0,Amazon Mobile (Mobile App),127.6128,Amazon Sites
B-52-13205,1.0,Amazon Mobile (Mobile App),1271.8188,Amazon Sites
B-52-42712,2.0,Amazon Mobile (Mobile App),128.7468,Amazon Sites
B-52-18905,2.0,Amazon Mobile (Mobile App),129.2004,Amazon Sites
B-52-13433,1.0,Amazon Mobile (Mobile App),13.0032,Amazon Sites
B-52-40299,2.0,Amazon Mobile (Mobile App),13.040999999999999,Amazon Sites
B-52-8873,1.0,Amazon Mobile (Mobile App),13.0788,Amazon Sites
B-52-38209,2.0,Amazon Mobile (Mobile App),13.1166,Amazon Sites
B-52-22477,2.0,Amazon Mobile (Mobile App),13.1922,Amazon Sites
B-52-33573,1.0,Amazon Mobile (Mobile App),13.1922,Amazon Sites
B-52-45581,2.0,Amazon Mobile (Mobile App),13.1922,Amazon Sites
B-52-30400,2.0,Amazon Mobile (Mobile App),13.3056,Amazon Sites
B-52-4902,1.0,Amazon Mobile (Mobile App),13.3812,Amazon Sites
B-52-10298,1.0,Amazon Mobile (Mobile App),13.4568,Amazon Sites
B-52-21508,2.0,Amazon Mobile (Mobile App),13.4568,Amazon Sites
B-52-8626,2.0,Amazon Mobile (Mobile App),13.4946,Amazon Sites
B-52-31882,1.0,Amazon Mobile (Mobile App),13.4946,Amazon Sites
B-52-44631,2.0,Amazon Mobile (Mobile App),13.5324,Amazon Sites
B-52-40432,1.0,Amazon Mobile (Mobile App),13.5702,Amazon Sites
B-52-45771,2.0,Amazon Mobile (Mobile App),13.607999999999999,Amazon Sites
B-52-27360,2.0,Amazon Mobile (Mobile App),13.6836,Amazon Sites
B-52-32015,2.0,Amazon Mobile (Mobile App),13.6836,Amazon Sites
B-52-50578,1.0,Amazon Mobile (Mobile App),13.7214,Amazon Sites
B-52-51585,2.0,Amazon Mobile (Mobile App),13.797,Amazon Sites
B-52-34827,1.0,Amazon Mobile (Mobile App),13.8726,Amazon Sites
B-52-22933,2.0,Amazon Mobile (Mobile App),13.9482,Amazon Sites
B-52-34979,2.0,Amazon Mobile (Mobile App),13.9482,Amazon Sites
B-52-16872,2.0,Amazon Mobile (Mobile App),13.985999999999999,Amazon Sites
B-52-44593,2.0,Amazon Mobile (Mobile App),13.985999999999999,Amazon Sites
